No.;Número de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emisión de Licencia;Municipio ;Departamento;Sector 
80;2003-A-371;INSTALACION DE ANTENA CORREDOR COLON  MEGATEL   SITIO CERRO POLITRON;RENOVACION  LICENCIA;12/2/2019;SONAGUERA;COLON;TELECOMUNICACIONES
81;2003-A-371-A;INSTALACION DE ANTENA CORREDOR COLON  MEGATEL   SITIO BARRIO BUENOS AIRES ;RENOVACION  LICENCIA;12/2/2019;TRUJILLO;COLON;TELECOMUNICACIONES
82;2003-A-372-D;INSTALACION DE ANTENA COMAYAGUA MEGATEL  S. A. DE C. V. SITIO GRANJA DELIA;RENOVACION  LICENCIA;12/2/2019;SIGUATEPEQUE;COMAYAGUA;TELECOMUNICACIONES
83;2003-A-372-K;INSTALACION DE ANTENAS COMAYAGUA MEGATEL  S. A. DE C. V. SITIO SAN SEBASTIAN;RENOVACION  LICENCIA;12/2/2019;COMAYAGUA;COMAYAGUA;TELECOMUNICACIONES
84;2003-A-365-C;INSTALACION DE ANTENA SITIO SANTA ROSA DE COPAN  BARRIO EL PROGRESO;RENOVACION  LICENCIA;12/2/2019;SANTA ROSA DE COPAN;COPAN;TELECOMUNICACIONES
85;2003-A-366;INSTALACION DE ANTENA CORREDOR CORTES MEGATEL  S. A. DE C. V. SITIO  BABILONIA 1;RENOVACION  LICENCIA;12/2/2019;SANTA CRUZ DE YOJOA;CORTES;TELECOMUNICACIONES
86;2005-A-63-C;INSTALACION DE ANTENA SAN PEDRO SULA MEGATEL  S. A. DE C. V. (SITIO  LA TREJO) ;RENOVACION  LICENCIA;12/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
87;2005-A-63-S;INSTALACION DE ANTENA SAN PEDRO SULA MEGATEL   SITIO  CEMCOL ;RENOVACION  LICENCIA;12/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
88;2012-LA-00304;CULTIVOS DE CAÑA DE AZUCAR  AZUCARERA LA GRECIA;AUDITORIA;13/2/2019;CHOLUTECA  MARCOVIA  SANTA ANA DE YUSGUARE  NAMASIGUE  EL TRIUNFO  Y NACAOME  ALIANZA  SAN LORENZO;CHOLUTECA Y VALLE;AGRICOLA
89;SLAS-0000487-2017;CONSTRUCCION PARQUE JUAN NICOLAS GODOY;FUNCIONAL;13/2/2019;CATACAMAS;OLANCHO;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
90;SLAS-0000510-2017;REPOSICION PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES  HOSPITAL SAN ISIDRO;FUNCIONAL;13/2/2019;TOCOA;COLON;SANEAMIENTO
91;SLAS-0000227-2018;CONSTRUCCION RED DE AGUA POTABLE LEPAERA  LEMPIRA;FUNCIONAL;13/2/2019;LEPAERA;LEMPIRA;SANEAMIENTO
92;2009-A-79;GILDAN MAYAN TEXILES;LICENCIA;15/2/2019;CHOLOMA;CORTES;INDUSTRIAL
93;2003-A-373-E;INSTALACION DE ANTENA SAN PEDRO SULA MEGATEL   SITIO  CEMCOL ;RENOVACION  LICENCIA;18/2/2019;CAMPAMENTO;OLANCHO;TELECOMUNICACIONES
94;2003-A-366-B;INSTALACION DE ANTENA CORREDOR CORTES  SITIO AGUAS PRIETAS;RENOVACION  LICENCIA;18/2/2019;OMOA;CORTES;TELECOMUNICACIONES
95;2006-A-420;INSTALACION DE ANTENAS  MUNICIPIO DE EL PROGRESO   DEPARTAMENTO DE YORO  SERCOM  S. A. DE C. V.;AUDITORIA;18/2/2019;EL PROGRESO;YORO;TELECOMUNICACIONES
96;2006-A-813;INSTALACION DE  DOS ANTENAS  EN EL MUNICIPIO DE ESPARTA   DEPARTAMENTO DE ATLANTIDA  SERCOM  S. A. DE C. V. PARA LA ANTENA IDENTIFICADA COMO ESPARTA;RENOVACION  LICENCIA;18/2/2019;ESPARTA;ATLANTIDA;TELECOMUNICACIONES
97;2005-A-63-D;INSTALACION DE  ANTENA SAN PEDRO SULA MEGATEL  SITIO CALPULES (MONTE FRESCO);RENOVACION LICENCIA;18/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
98;2005-A-63-J;INSTALACION DE  ANTENAS SAN PEDRO SULA MEGATEL  SITIO ALTAMIRA ;RENOVACION LICENCIA;19/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
99;2005-A-63-A;INSTALACION DE  ANTENA SITIO LOS ALPES;RENOVACION LICENCIA;19/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
100;2007-A-80;INSTALACION DE  ANTENA NISPERALES  BARACOA;RENOVACION  LICENCIA;19/2/2019;PUERTO CORTES;CORTES;TELECOMUNICACIONES
