Numero,Departamento,Nombre,Codigo Municipal,Shape_Area,Km2,Densidad,Indice de Riesgo Municipal
265,Santa Barbara,San Pedro Zacapa,1623,199652763.40,199.65,41.94,5.70
266,Santa Barbara,San Vicente Centenario,1624,37537708.42,37.54,68.38,6.40
267,Santa Barbara,Santa Rita,1625,81973191.30,81.97,38.39,4.50
268,Santa Barbara,Trinidad,1626,205141606.80,205.14,77.49,5.10
269,Santa Barbara,Las Vegas,1627,123008823.88,123.01,142.23,5.10
270,Valle,Nacaome,1701,589209624.91,589.21,79.39,5.50
271,Valle,Alianza,1702,205693998.58,205.69,33.66,6.30
272,Valle,Amapala,1703,85935448.81,85.94,112.72,5.90
273,Valle,Aramecina,1704,100443102.11,100.44,60.08,6.30
274,Valle,Caridad,1705,51957126.08,51.96,68.17,5.70
275,Valle,Goascoran,1706,191137462.90,191.14,69.38,4.90
276,Valle,Langue,1707,136099170.11,136.10,135.53,6.10
277,Valle,San Francisco de Coray,1708,89104144.97,89.10,95.97,6.40
278,Valle,San Lorenzo,1709,168670890.11,168.67,169.48,5.10
279,Yoro,Yoro,1801,2264295611.58,2264.30,28.45,4.70
280,Yoro,Arenal,1802,178815847.57,178.82,26.88,5.70
281,Yoro,El Negrito,1803,564723976.67,564.72,63.13,5.50
282,Yoro,El Progreso,1804,534120263.86,534.12,275.91,5.40
283,Yoro,Jocon,1805,354507546.86,354.51,21.01,5.30
284,Yoro,Morazan,1806,509313149.43,509.31,63.99,6.00
285,Yoro,Olanchito,1807,2018613734.89,2018.61,39.02,6.40
286,Yoro,Santa Rita,1808,128908978.07,128.91,133.16,5.70
287,Yoro,Sulaco,1809,234464031.74,234.46,56.69,5.30
288,Yoro,Yorito,1811,207988845.79,207.99,63.09,6.10
289,Atlantida,El Porvenir,0102,277317107.86,277.32,52.06,4.40
290,Gracias a Dios,Puerto Lempira,0901,7125644189.63,7125.64,3.27,5.80
291,Gracias a Dios,Brus Laguna,0902,4424087616.88,4424.09,2.14,6.40
292,Gracias a Dios,Ahuas,0903,1313250955.06,1313.25,4.60,4.70
293,Gracias a Dios,Juan Francisco  Bulnes,0904,631521748.22,631.52,8.46,4.10
294,Gracias a Dios,Ramon Villeda Morales,0905,621874619.29,621.88,13.83,4.00
295,Gracias a Dios,Wampusirpi,0906,1781214969.95,1781.21,2.19,3.60
296,Santa Barbara,Nueva Frontera,1628,151620239.10,151.62,79.53,6.20
297,Yoro,Victoria,1810,791294641.24,791.30,32.33,7.00
298,Cortes,Santa Cruz de Yojoa,0510,735703186.55,735.70,83.54,5.40
