DEPARTAMENTO,MUNICIPIO,COD,Terremotos,Inundaciones,Ciclon y Marejadas,Deslizamientos,Sequia,Natural,Violencia,Humano,PELIGRO Y E0.00POSICIoN,Desarrollo y Pobreza,Desigualdad,Dependencia,Vulnerabilidad Socioeconomica,Poblacion Desarraiga,Otros Grupos Vulnerables,Grupos Vulnerables,VULNERABILIDAD,Capacidad de Respuesta,Gobernanza,Institutional,Comunicacion,Infraestructura Fisica,Acceso a Educacion,Infraestructura,FALTA DE CAPACIDAD DE RESPUESTA,INFORM RISK,Rango
El Paraiso,Yauyupe,718,0,0,0,6.4,9.3,4.6,0,0,2.6,8.1,7.7,6.7,7.5,0.5,6.6,4.2,6.1,8.3,8.7,8.5,7,7.5,3.5,6,7.5,4.9,235
Francisco Morazan,Sabanagrande,816,6.6,4.5,0,7.5,8.6,6.2,1.7,1.7,4.3,6.7,7.4,6.1,6.7,1.8,4.3,3.1,5.2,5,4.3,4.7,6,7.5,4.2,5.9,5.3,4.9,235
La Paz,Marcala,1208,8,0,0,6.9,6.8,5.2,4.8,4.8,5,6,6,5.7,5.9,4,7.3,5.9,5.9,3.3,3,3.2,6.4,4.6,3.3,4.8,4,4.9,235
Santa Barbara,San Nicolas,1622,7.4,0,0,8.3,0,5.1,1.4,1.4,3.5,7.2,8,6.6,7.3,2.4,6.3,4.6,6.1,6.7,4.4,5.7,6.8,4.7,4.9,5.5,5.6,4.9,235
Valle,Goascoran,1706,7.4,9,0,0,9.3,6.7,0,0,4.1,7.3,7.4,6.5,7.1,4.1,5,4.6,6,3.3,4.5,3.9,5.3,7.3,4.7,5.8,4.9,4.9,235
Cortes,San Antonio de Cortes,507,7.7,3.9,0,4.1,0,3.8,2.2,2.2,3,7.2,7.9,7.2,7.4,4.5,5.5,5,6.3,6.7,4.5,5.7,7.2,6.4,4.8,6.1,5.9,4.8,241
Cortes,San Manuel,509,8.6,9.7,0,0,0,5.6,8.2,8.2,7.1,5.5,6,6.1,5.9,3.5,2.3,2.9,4.6,3.3,2.2,2.8,2.9,4,4.6,3.8,3.3,4.8,241
Cortes,La Lima,512,8.8,5.8,0,0,0,4.1,8.9,8.9,7.2,4.9,4.8,5.8,5.2,8.5,2,6.2,5.7,3.3,1.2,2.3,0.9,5.3,3,3.1,2.7,4.8,241
Francisco Morazan,San Ignacio,819,0,0,0,3.8,0,1.1,4.1,4.1,2.7,6.8,8.1,6.8,7.2,8.4,3.5,6.6,6.9,8.3,5,7,5,5.2,4.5,4.9,6.1,4.8,241
Olancho,Salama,1516,0,2.2,0,5.6,4.6,2.8,4,4,3.4,6.4,7.3,7.2,7,5.3,6.8,6.1,6.6,3.3,6.4,5,5.6,4.7,3.5,4.6,4.8,4.8,241
Santa Barbara,San Jose de Colinas,1606,7.6,0,0,8.5,0,5.3,1.8,1.8,3.8,6.5,6.9,6,6.5,0.7,6,3.8,5.3,6.7,4.5,5.7,6.3,2.9,5.8,5,5.4,4.8,241
Atlantida,San Francisco,106,0,0,0,5.4,0,1.4,7.4,7.4,5.1,5.4,6.2,5.6,5.7,3.1,3.4,3.3,4.6,5,3,4.1,4.8,4.5,4.1,4.5,4.3,4.7,247
Colon,Santa Rosa de Aguan,207,0,6.1,7.6,0,0,3.6,0.7,0.7,2.3,7.9,7.2,7.1,7.4,3.8,2.4,3.1,5.7,10,4.3,8.4,5.9,8.8,5.5,6.7,7.7,4.7,247
Copan,Corquin,405,6.9,3.2,0,5.5,6,4.7,0.6,0.6,2.9,6.5,7.2,6.1,6.6,6,6.3,6.2,6.4,6.7,3.5,5.3,5.6,5.3,6.6,5.8,5.6,4.7,247
Gracias a Dios,Ahuas,903,0,0,7.6,0,0,2.3,2.2,2.2,2.3,9.1,6.7,8.4,8.1,0.3,5.3,3.2,6.2,0.7,8.7,6.1,9.9,10,4.9,8.3,7.4,4.7,247
Lempira,La Campa,1308,6.6,0,0,7.2,0,3.6,0,0,2,8.6,6.6,8.6,7.9,1.3,6.6,4.5,6.5,10,6.2,8.8,8.4,7,5.2,6.9,8,4.7,247
Ocotepeque,Dolores Merendon,1404,6.1,0,0,3.1,5.2,3.3,0,0,1.8,9.3,8.2,7.3,8.3,1.5,6.3,4.3,6.7,10,9.3,9.7,4.5,7.7,9.3,7.2,8.8,4.7,247
Yoro,Yoro,1801,0,0,0,9.2,5,4.2,0,0,2.3,7.4,7.6,7.4,7.5,8.6,6.7,7.8,7.7,3.3,3.4,3.4,8.2,8.6,5.3,7.4,5.8,4.7,247
Santa Barbara,Gualala,1611,6.4,0,0,5.7,0,3,1.6,1.6,2.3,6.7,7.5,6.1,6.8,2.3,6,4.4,5.7,10,6.1,8.8,6.7,3.6,6.2,5.5,7.5,4.6,254
Comayagua,Minas de Oro,311,0,0,0,5.3,5.8,2.7,2.5,2.5,2.6,7.3,8.2,7.2,7.6,2.5,5.6,4.2,6.2,2.3,5.3,4,7.5,7.2,5.3,6.7,5.5,4.5,255
Copan,Dolores,407,6.6,2.2,0,6.6,0,3.7,0.2,0.2,2.1,7.7,7.1,6.9,7.2,1.2,7.4,5,6.2,6.7,7.4,7.1,6.4,7.2,6.8,6.8,7,4.5,255
Copan,Dulce Nombre,408,6.5,0,0,5.6,0,3,3.4,3.4,3.2,6.1,7.1,6,6.4,4.2,4.2,4.2,5.4,6.7,5,5.9,5,3.3,5.6,4.6,5.3,4.5,255
El Paraiso,Jacaleapa,706,0,0,0,4.4,0,1.1,5.6,5.6,3.7,6.3,6.4,5,5.9,0.9,3,2,4.2,8.3,4.3,6.7,2.7,7.1,4.6,4.8,5.8,4.5,255
Islas de la Bahia,Jose Santos Guardiola,1103,0,0,7.6,0,0,2.3,5,5,3.8,5.2,6.6,6.8,6.2,0.2,1.8,1,4.1,10,2.5,8,2.5,2.7,3.1,2.8,6,4.5,255
Ocotepeque,Sensenti,1415,6.9,0,0,4.7,5.6,4,1.9,1.9,3,7,8.4,5.7,7,3.7,4.7,4.2,5.8,3.3,5.5,4.5,5.3,6.2,5.4,5.6,5.1,4.5,255
Olancho,Concordia,1504,0,3.3,0,5.9,3.8,2.9,1.3,1.3,2.1,7.6,8.4,6.8,7.6,3.5,4.1,3.8,6,8.3,7.5,7.9,6.6,7.2,6.3,6.7,7.3,4.5,255
Santa Barbara,San Vicente Centenario,1625,6.1,0,0,0,0,2,2.5,2.5,2.3,6.9,6.7,5.9,6.5,2.4,6.6,4.8,5.7,10,4.9,8.5,4.6,3.3,6.6,4.8,7.1,4.5,255
Atlantida,El Porvenir,102,0,0,0,0,0,0,9.2,9.2,6.5,5.5,6.2,6.7,6.1,2.4,2.9,2.7,4.6,0.7,3,1.9,3.9,3.8,3.2,3.6,2.8,4.4,263
Copan,San Nicolas,419,6.8,0,0,3.6,0,2.6,2.7,2.7,2.7,7.1,6.9,6.1,6.7,2.3,5,3.8,5.4,5,5.1,5.1,6.6,6.8,5.9,6.4,5.8,4.4,263
Cortes,Pimienta,504,7.6,8.9,0,0,0,4.7,4.6,4.6,4.7,5.9,5.6,6.4,6,3.1,2.8,3,4.7,3.3,2.6,3,3.9,6.5,3.7,4.7,3.9,4.4,263
Colon,Trujillo,201,0,9.6,0,3.6,0,4.2,0.9,0.9,2.7,6.2,7.4,6.9,6.8,9.9,3.5,8.1,7.5,3.3,2.6,3,5.4,4.8,4.5,4.9,4,4.3,266
Olancho,Silca,1521,0,2.2,0,5.1,0,1.7,2.3,2.3,2,6.6,7.1,7.6,7.1,8.1,3.3,6.3,6.7,5,8.1,6.8,6,4.2,5.8,5.3,6.1,4.3,266
Copan,La Jigua,411,7,0,0,5.4,0,3.1,0,0,1.7,8,7.8,7.9,7.9,4.2,4.9,4.6,6.5,6.7,7.1,6.9,6.8,7,6.1,6.6,6.8,4.2,268
Cortes,San Francisco de Yojoa,508,7.8,3.7,0,3.9,0,3.7,4,4,3.9,5.7,6.5,6.6,6.3,3.4,3,3.2,4.9,6.7,2.4,4.9,4.3,1.6,2.3,2.7,3.9,4.2,268
El Paraiso,Yuscaran,701,0,5.4,0,5.9,0,2.8,3.2,3.2,3,6.4,7.9,5.8,6.7,0.9,2.9,2,4.8,3.3,4.2,3.8,7.5,6.9,3.8,6.1,5.1,4.2,268
Copan,Trinidad de Copan,422,6.7,2.2,0,4.7,0,3.2,0.5,0.5,1.9,7.7,8.1,6.3,7.4,1.5,5.8,4,6,3.3,6.8,5.3,6.3,7.2,6.6,6.7,6,4.1,271
Francisco Morazan,Maraita,810,0,0,0,7.4,5.7,3.4,0,0,1.9,6.9,8,6.1,7,0.5,5.1,3.1,5.4,6.7,6.2,6.5,7.9,7,5.6,6.8,6.7,4.1,271
Gracias a Dios,Juan Francisco Bulnes,904,0,0,6.4,0,0,1.8,1.4,1.4,1.6,7.7,6.5,8,7.4,0.9,3.1,2.1,5.3,10,6.7,8.9,8,9.9,4.1,7.3,8.2,4.1,271
Olancho,San Francisco de Becerra,1518,0,3.4,0,6,0,2.3,1.9,1.9,2.1,7.3,8.1,6.7,7.4,3,1.6,2.3,5.4,5,5.6,5.3,6,7.7,5.8,6.5,5.9,4.1,271
Gracias a Dios,Ramon Villeda Morales,905,0,3.9,6.5,0,0,2.6,0.9,0.9,1.8,9.2,4,7.4,6.9,0.1,3.1,1.7,4.8,3.3,8.8,6.9,9.7,9.2,4.6,7.8,7.4,4,275
Olancho,Guarizama,1509,0,2.2,0,6.3,0,2.1,1.1,1.1,1.6,7.1,8.2,6.9,7.4,5.8,3.9,4.9,6.3,6.7,6.9,6.8,6.3,5.6,6.1,6,6.4,4,275
Comayagua,San Jose del Potrero,315,0,0,0,0,5.3,1.4,1.2,1.2,1.3,7.3,7.6,7.6,7.5,1.8,4.2,3.1,5.7,10,6.4,8.8,7.3,8.1,5.3,6.9,8,3.9,277
Francisco Morazan,San Buenaventura,818,0,3,0,9.3,6.4,5,0,0,2.9,5.8,4.9,5.1,5.3,0.2,3.7,2.1,3.9,6.7,5.3,6,5.4,3.9,2.8,4,5.1,3.9,277
Comayagua,Las Lajas,320,0,0,0,5.6,0,1.5,0.9,0.9,1.2,7.6,7.9,7.7,7.7,6.5,4.7,5.7,6.8,8.3,5.3,7.1,7,6.9,5.8,6.6,6.9,3.8,279
Francisco Morazan,Valle de Angeles,826,0,0,0,7.5,0,2.2,5.1,5.1,3.8,5,5.2,5.4,5.2,0.6,4.2,2.6,4,3.3,2.5,2.9,3.6,4.4,3,3.7,3.3,3.7,280
Francisco Morazan,Villa de San Francisco,827,0,0,0,7,0,2,3.3,3.3,2.7,6.2,6.9,6.5,6.5,0.2,3.5,2,4.6,5,3.4,4.2,4.4,3.9,4.4,4.2,4.2,3.7,280
Olancho,El Rosario,1506,0,2.8,0,0,5.4,1.9,0,0,1,8.2,7.4,8.6,8.1,4.7,5.2,5,6.8,6.7,8.6,7.8,7.6,6.9,5.6,6.7,7.3,3.7,280
Olancho,San Esteban,1517,0,5.3,0,4.7,0,2.4,0,0,1.3,6.8,7,6.9,6.9,6.4,5.2,5.8,6.4,6.7,4.6,5.8,7.7,7.3,4.7,6.6,6.2,3.7,280
Francisco Morazan,San Antonio de Oriente,817,0,3.3,0,5.6,0,2.1,2.3,2.3,2.2,6.1,7.2,5.6,6.3,0.3,2.6,1.5,4.3,5,4,4.5,6,6.8,3.3,5.4,5,3.6,284
Gracias a Dios,Wampusirpi,906,0,0,0,0,0,0,1.5,1.5,0.8,9.1,8.5,8.9,8.8,0.1,4.1,2.3,6.6,6.7,9.9,8.8,9.9,10,5.1,8.3,8.6,3.6,284
Olancho,Manto,1515,0,3.7,0,5.7,0,2.2,0,0,1.2,6.6,7.4,6.9,7,5.9,4.3,5.2,6.2,6.7,6.8,6.8,6.5,5,6.2,5.9,6.4,3.6,284
Olancho,Jano,1512,0,2.8,0,5.2,0,1.9,0,0,1,8.1,7.1,8.5,7.9,1.4,6.2,4.2,6.4,5,7.3,6.3,8.7,5.4,7,7,6.7,3.5,287
Francisco Morazan,Nueva Armenia,812,0,0,0,3.6,5.2,2.1,0,0,1.1,6.3,7.7,6.5,6.8,0.9,4.5,2.9,5.2,8.3,6.7,7.6,6.6,4.3,5.8,5.6,6.7,3.4,288
Francisco Morazan,Tatumbla,825,0,3.7,0,5,0,2,1.1,1.1,1.6,5.9,5.8,4.4,5.4,0.3,4.1,2.4,4.1,8.3,5.5,7.1,3.9,4.9,5.3,4.7,6,3.4,288
El Paraiso,Guinope,705,0,0,0,4,0,0.9,2.1,2.1,1.5,6.2,7.6,5.2,6.3,0.3,3.4,2,4.5,5,6.4,5.7,6.7,4.3,4.7,5.2,5.5,3.3,290
Francisco Morazan,Santa Lucia,823,0,4.1,0,6.8,0,2.7,2.5,2.5,2.6,4.3,4.8,4.2,4.4,0.2,2.1,1.2,3,6.7,2,4.8,2.2,3.3,4.5,3.3,4.1,3.2,291
Comayagua,Lejamani,309,6.5,0,0,0,0,1.8,1.7,1.7,1.8,5.9,5.6,5.3,5.6,0.7,2.5,1.6,3.9,3.3,4.8,4.1,4.2,3.2,4.7,4,4.1,3.1,292
Islas de la Bahia,Guanaja,1102,0,0,8.8,0,0,3,3.5,3.5,3.3,4.5,5.1,5.7,5.1,1.2,1.7,1.5,3.5,3.3,2.7,3,0.9,1.5,3.4,1.9,2.5,3.1,292
Francisco Morazan,Santa Ana,822,0,3.1,0,6.5,0,2.4,0.9,0.9,1.7,5.4,5.3,4.9,5.2,0.3,2.5,1.5,3.6,3.3,2.7,3,3.5,4,3.3,3.6,3.3,2.7,294
Islas de la Bahia,Roatan,1101,0,0,7.6,0,0,2.3,0,0,1.2,4.4,5.3,5.3,5,6.5,3,5,5,6.7,0.6,4.3,2.3,2.3,2.6,2.4,3.4,2.7,294
El Paraiso,Potrerillos,710,0,0,0,3.9,0,0.9,0,0,0.5,6.4,8.3,7.2,7.3,1.4,3.3,2.4,5.3,8.3,5.7,7.2,6.4,4.1,5.3,5.3,6.3,2.6,296
Islas de la Bahia,Utila,1104,0,4.2,7.4,0,0,3,0.5,0.5,1.8,4.6,4.7,4.6,4.6,0.8,1.3,1.1,3,3.3,1.6,2.5,0.4,6,3.3,3.2,2.9,2.5,297
El Paraiso,San Matias,713,0,0,0,4,0,0.9,0,0,0.5,5.7,7,5.3,6,0.5,2.9,1.8,4.2,8.3,5.6,7.2,5.8,4.8,5.4,5.3,6.3,2.4,298
