DEPARTAMENTO,MUNICIPIO,COD,Terremotos,Inundaciones,Ciclon y Marejadas,Deslizamientos,Sequia,Natural,Violencia,Humano,PELIGRO Y E0.00POSICIoN,Desarrollo y Pobreza,Desigualdad,Dependencia,Vulnerabilidad Socioeconomica,Poblacion Desarraiga,Otros Grupos Vulnerables,Grupos Vulnerables,VULNERABILIDAD,Capacidad de Respuesta,Gobernanza,Institutional,Comunicacion,Infraestructura Fisica,Acceso a Educacion,Infraestructura,FALTA DE CAPACIDAD DE RESPUESTA,INFORM RISK,Rango
El Paraiso,Trojes,719,0,10,0,10,7.1,7.5,8.5,8.5,8,8.3,8.1,6.6,7.7,2.3,4.9,3.7,6.1,5,4.9,5,9,9.2,5.8,8,6.8,6.9,20
Francisco Morazan,Curaren,804,7.7,0,0,10,10,7.6,2.9,2.9,5.7,9.4,8,7.2,8.2,2,6.2,4.4,6.7,6.7,8.4,7.7,10,9.8,7.7,9.2,8.6,6.9,20
Intibuca,Santa Lucia,1015,6.4,0,0,9.6,9.5,6.8,1.8,1.8,4.8,8.7,7.7,7.8,8.1,8.1,9.7,9,8.6,10,7.6,9.1,6.1,8.3,5.7,6.7,8.1,6.9,20
Comayagua,Esquias,304,0,0,0,6.7,6.1,3.2,8.7,8.7,6.7,7.8,8.5,6.9,7.7,4.9,6,5.5,6.7,8.3,6.1,7.4,8,6.7,5.7,6.8,7.1,6.8,24
Copan,Cabañas,402,7,0,0,6.7,6.1,4.7,7.2,7.2,6.1,8.8,8.2,7.2,8.1,3.2,6,4.8,6.8,6.7,7.8,7.3,8.6,7.5,7.6,7.9,7.6,6.8,24
El Paraiso,Te0.00iguat,716,0,10,0,9.5,9.7,8,1.3,1.3,5.6,9.3,8.7,6.9,8.3,0.4,7.8,5.2,7,5,9.4,7.9,9.2,8.8,5.8,7.9,7.9,6.8,24
Lempira,Las Flores,1310,7,2.2,0,9.5,5.7,6,7.3,7.3,6.7,8.1,6.5,6.6,7.1,0.9,6.6,4.3,5.9,10,7.3,9.1,6.8,5.8,5.6,6.1,7.9,6.8,24
Lempira,San Juan Guarita,1318,6.6,0,0,9.2,9.4,7.5,6.2,6.2,6.9,7.4,6.9,6.3,6.9,6.4,5.6,6,6.5,6.7,8.1,7.5,6.7,4.4,7.1,6.1,6.9,6.8,24
Lempira,Valladolid,1326,6.1,0,0,9.4,9.5,6.7,2.5,2.5,4.9,9,6.2,5.9,7,7.8,8.4,8.1,7.6,10,8.8,9.5,5.7,7.2,6,6.3,8.3,6.8,24
Colon,Limon,204,0,4,7.4,4.3,0,3.7,7,7,5.6,8.2,8.3,8.5,8.3,3,4.2,3.6,6.5,10,5.7,8.7,7.6,9,7.1,7.9,8.3,6.7,30
Comayagua,Meambar,310,7.2,6.4,0,5,0,4.4,7.7,7.7,6.3,8.1,7.5,7.7,7.8,2.2,5.9,4.3,6.4,5,7.1,6.2,8.8,9.7,6,8.2,7.3,6.7,30
Copan,Concepcion,403,6.8,0,0,7.9,5.2,4.8,5.7,5.7,5.3,9.3,7.5,7.6,8.1,2.4,6.5,4.8,6.8,10,7.6,9.1,7.5,7.7,7.9,7.7,8.5,6.7,30
Cortes,Omoa,503,8.4,9.8,0,6,0,6.4,9.5,9.5,8.4,6.4,7.1,6.8,6.8,9.9,3.8,8.1,7.5,6.7,2.6,5,5,4,4.8,4.6,4.8,6.7,30
Francisco Morazan,Reitoca,815,7.1,0,0,9.8,9.9,7.3,0,0,4.6,9.1,8.1,7.3,8.2,2.3,7.9,5.8,7.2,10,7.7,9.2,9.2,9.6,7.4,8.7,9,6.7,30
Intibuca,Magdalena,1008,6.3,0,0,7,9.3,5.8,6.5,6.5,6.2,7.9,7.2,7.1,7.4,4.8,4.9,4.9,6.3,10,6.5,8.8,5.3,7.2,4.9,5.8,7.6,6.7,30
Lempira,Piraera,1315,7.3,0,0,9.8,7.8,6.5,1.4,1.4,4.4,9.5,7.1,9.4,8.7,2.8,7.4,5.6,7.5,10,8.4,9.4,9.5,9.7,6.5,8.6,9,6.7,30
Lempira,Tambla,1324,5.9,5.4,0,9.3,9.6,7.2,2.7,2.7,5.4,6.7,6.4,6.8,6.6,2.6,9.4,7.3,7,10,7.2,9,7.1,4.9,5.3,5.8,7.8,6.7,30
Colon,Tocoa,209,0,10,0,6.7,0,5.3,9.2,9.2,7.8,5.8,6.8,6.9,6.5,10,5.4,8.6,7.7,6.7,1.9,4.7,4.6,5,4.9,4.8,4.8,6.6,38
Comayagua,La Libertad,306,4.3,4.3,0,6.6,5.1,4.4,9.1,9.1,7.4,6.9,7.3,7.3,7.2,8.4,5.5,7.2,7.2,3.3,4,3.7,7.4,7,5.8,6.7,5.4,6.6,38
El Paraiso,Danli,703,0,10,0,10,0,6.7,9.2,9.2,8.2,6.7,7.1,5.8,6.5,8,4.4,6.5,6.5,6.7,2.5,4.9,7,6.7,4.6,6.1,5.5,6.6,38
Intibuca,Masaguara,1009,7.1,3.2,0,9.9,0,5.7,3.9,3.9,4.9,9,7.7,7.5,8.1,3.8,6,5,6.8,10,7.2,9,8.5,8.4,8,8.3,8.7,6.6,38
La Paz,San Juan,1213,5.7,0,0,9.3,7.3,6.6,4,4,5.4,7.8,7.6,7.6,7.7,2.3,4.1,3.3,5.9,10,9.1,9.6,7.2,9.5,6.8,7.8,8.9,6.6,38
Lempira,Gracias,1301,8.5,0,0,10,7.1,6.8,8.8,8.8,8,7.4,6.3,6.6,6.8,5.7,8,7,6.9,3.3,4.1,3.7,7.2,6.6,4.7,6.2,5.1,6.6,38
Ocotepeque,La Encarnacion,1406,6.4,0,0,9.5,5.1,5.5,6.4,6.4,6,6.5,7.9,5.3,6.6,4.7,7.1,6,6.3,10,6.8,8.9,5.1,4.4,6.1,5.2,7.5,6.6,38
Santa Barbara,Naranjito,1614,7.2,0,0,6.3,0,3.5,7.1,7.1,5.6,7.9,7.7,6.1,7.2,9.3,6.4,8.2,7.7,3.3,6.8,5.3,9.2,7.5,6.5,7.7,6.7,6.6,38
Comayagua,San Jose de Comayagua,314,6.8,6.5,0,6.1,0,4.5,6.4,6.4,5.5,7.7,8.4,7.4,7.8,2.4,5.8,4.3,6.4,10,5.4,8.6,6.9,8.7,5.5,7,7.9,6.5,46
El Paraiso,Liure,707,6.8,4.2,0,9.5,9.6,7.3,0.9,0.9,4.9,9.5,8.1,7,8.2,0.4,6.5,4.1,6.6,6.7,9,8.1,9.7,9,7.7,8.8,8.5,6.5,46
Lempira,La Virtud,1312,6.6,2.2,0,5.1,9.2,5.6,5.1,5.1,5.4,8.2,6.4,6.8,7.1,8.2,7.2,7.7,7.4,6.7,7.7,7.2,5.2,6.6,7.7,6.5,6.9,6.5,46
